Taux de change de l'euro 
Taux de change de l'euro [1] 
25 août 2006 
(2006/C 204/01) 
| Monnaie | Taux de change | 
USD | dollar des États-Unis | 1,2762 | 
JPY | yen japonais | 149,64 | 
DKK | couronne danoise | 7,4608 | 
GBP | livre sterling | 0,67620 | 
SEK | couronne suédoise | 9,2231 | 
CHF | franc suisse | 1,5809 | 
ISK | couronne islandaise | 89,36 | 
NOK | couronne norvégienne | 8,0655 | 
BGN | lev bulgare | 1,9558 | 
CYP | livre chypriote | 0,5761 | 
CZK | couronne tchèque | 28,175 | 
EEK | couronne estonienne | 15,6466 | 
HUF | forint hongrois | 277,34 | 
LTL | litas lituanien | 3,4528 | 
LVL | lats letton | 0,6960 | 
MTL | lire maltaise | 0,4293 | 
PLN | zloty polonais | 3,9259 | 
RON | leu roumain | 3,5253 | 
SIT | tolar slovène | 239,58 | 
SKK | couronne slovaque | 37,730 | 
TRY | lire turque | 1,8882 | 
AUD | dollar australien | 1,6797 | 
CAD | dollar canadien | 1,4122 | 
HKD | dollar de Hong Kong | 9,9280 | 
NZD | dollar néo-zélandais | 2,0083 | 
SGD | dollar de Singapour | 2,0149 | 
KRW | won sud-coréen | 1227,64 | 
ZAR | rand sud-africain | 9,1118 | 
CNY | yuan ren-min-bi chinois | 10,1794 | 
HRK | kuna croate | 7,3050 | 
IDR | rupiah indonésien | 11654,90 | 
MYR | ringgit malais | 4,696 | 
PHP | peso philippin | 65,581 | 
RUB | rouble russe | 34,1960 | 
THB | baht thaïlandais | 48,072 | 
[1] Source: taux de change de référence publié par la Banque centrale européenne. 
-------------------------------------------------- 
