Taux de change de l'euro 
Taux de change de l'euro [1] 
13 décembre 2005 
(2005/C 318/02) 
| Monnaie | Taux de change | 
USD | dollar des États-Unis | 1,1925 | 
JPY | yen japonais | 143,47 | 
DKK | couronne danoise | 7,4497 | 
GBP | livre sterling | 0,67425 | 
SEK | couronne suédoise | 9,4415 | 
CHF | franc suisse | 1,5433 | 
ISK | couronne islandaise | 75,23 | 
NOK | couronne norvégienne | 7,9520 | 
BGN | lev bulgare | 1,9557 | 
CYP | livre chypriote | 0,5735 | 
CZK | couronne tchèque | 29,007 | 
EEK | couronne estonienne | 15,6466 | 
HUF | forint hongrois | 252,82 | 
LTL | litas lituanien | 3,4528 | 
LVL | lats letton | 0,6970 | 
MTL | lire maltaise | 0,4293 | 
PLN | zloty polonais | 3,8299 | 
RON | leu roumain | 3,6426 | 
SIT | tolar slovène | 239,50 | 
SKK | couronne slovaque | 37,856 | 
TRY | lire turque | 1,6080 | 
AUD | dollar australien | 1,5822 | 
CAD | dollar canadien | 1,3739 | 
HKD | dollar de Hong Kong | 9,2461 | 
NZD | dollar néo-zélandais | 1,6864 | 
SGD | dollar de Singapour | 1,9967 | 
KRW | won sud-coréen | 1223,51 | 
ZAR | rand sud-africain | 7,5643 | 
CNY | yuan ren-min-bi chinois | 9,6296 | 
HRK | kuna croate | 7,4050 | 
IDR | rupiah indonésien | 11665,63 | 
MYR | ringgit malais | 4,502 | 
PHP | peso philippin | 63,984 | 
RUB | rouble russe | 34,2950 | 
THB | baht thaïlandais | 49,071 | 
[1] Source: taux de change de référence publié par la Banque centrale européenne. 
-------------------------------------------------- 
