Taux de change de l'euro 
Taux de change de l'euro [1] 
21 février 2006 
(2006/C 44/01) 
| Monnaie | Taux de change | 
USD | dollar des États-Unis | 1,1906 | 
JPY | yen japonais | 141,61 | 
DKK | couronne danoise | 7,4625 | 
GBP | livre sterling | 0,68210 | 
SEK | couronne suédoise | 9,3887 | 
CHF | franc suisse | 1,5598 | 
ISK | couronne islandaise | 77,02 | 
NOK | couronne norvégienne | 8,0545 | 
BGN | lev bulgare | 1,9558 | 
CYP | livre chypriote | 0,5746 | 
CZK | couronne tchèque | 28,455 | 
EEK | couronne estonienne | 15,6466 | 
HUF | forint hongrois | 251,87 | 
LTL | litas lituanien | 3,4528 | 
LVL | lats letton | 0,6961 | 
MTL | lire maltaise | 0,4293 | 
PLN | zloty polonais | 3,7773 | 
RON | leu roumain | 3,4969 | 
SIT | tolar slovène | 239,47 | 
SKK | couronne slovaque | 37,263 | 
TRY | lire turque | 1,5683 | 
AUD | dollar australien | 1,6116 | 
CAD | dollar canadien | 1,3668 | 
HKD | dollar de Hong Kong | 9,2413 | 
NZD | dollar néo-zélandais | 1,7931 | 
SGD | dollar de Singapour | 1,9421 | 
KRW | won sud-coréen | 1153,16 | 
ZAR | rand sud-africain | 7,2213 | 
CNY | yuan ren-min-bi chinois | 9,5825 | 
HRK | kuna croate | 7,3080 | 
IDR | rupiah indonésien | 11027,93 | 
MYR | ringgit malais | 4,428 | 
PHP | peso philippin | 61,697 | 
RUB | rouble russe | 33,5830 | 
THB | baht thaïlandais | 46,916 | 
[1] Source: taux de change de référence publié par la Banque centrale européenne. 
-------------------------------------------------- 
