Taux de change de l'euro 
Taux de change de l'euro [1] 
5 avril 2006 
(2006/C 83/01) 
| Monnaie | Taux de change | 
USD | dollar des États-Unis | 1,2262 | 
JPY | yen japonais | 144,16 | 
DKK | couronne danoise | 7,4629 | 
GBP | livre sterling | 0,70060 | 
SEK | couronne suédoise | 9,3584 | 
CHF | franc suisse | 1,5791 | 
ISK | couronne islandaise | 88,90 | 
NOK | couronne norvégienne | 7,8865 | 
BGN | lev bulgare | 1,9558 | 
CYP | livre chypriote | 0,5760 | 
CZK | couronne tchèque | 28,568 | 
EEK | couronne estonienne | 15,6466 | 
HUF | forint hongrois | 266,23 | 
LTL | litas lituanien | 3,4528 | 
LVL | lats letton | 0,6960 | 
MTL | lire maltaise | 0,4293 | 
PLN | zloty polonais | 3,9733 | 
RON | leu roumain | 3,5172 | 
SIT | tolar slovène | 239,62 | 
SKK | couronne slovaque | 37,519 | 
TRY | lire turque | 1,6378 | 
AUD | dollar australien | 1,6921 | 
CAD | dollar canadien | 1,4240 | 
HKD | dollar de Hong Kong | 9,5145 | 
NZD | dollar néo-zélandais | 2,0012 | 
SGD | dollar de Singapour | 1,9722 | 
KRW | won sud-coréen | 1173,90 | 
ZAR | rand sud-africain | 7,4194 | 
CNY | yuan ren-min-bi chinois | 9,8238 | 
HRK | kuna croate | 7,3350 | 
IDR | rupiah indonésien | 11054,19 | 
MYR | ringgit malais | 4,503 | 
PHP | peso philippin | 62,640 | 
RUB | rouble russe | 33,7950 | 
THB | baht thaïlandais | 46,978 | 
[1] Source: taux de change de référence publié par la Banque centrale européenne. 
-------------------------------------------------- 
