Euro exchange rates 
Euro exchange rates [1] 
5 May 2006 
(2006/C 107/02) 
| Currency | Exchange rate | 
USD | US dollar | 1,2688 | 
JPY | Japanese yen | 144,51 | 
DKK | Danish krone | 7,4570 | 
GBP | Pound sterling | 0,68680 | 
SEK | Swedish krona | 9,3220 | 
CHF | Swiss franc | 1,5615 | 
ISK | Iceland kr贸na | 91,18 | 
NOK | Norwegian krone | 7,7670 | 
BGN | Bulgarian lev | 1,9558 | 
CYP | Cyprus pound | 0,5752 | 
CZK | Czech koruna | 28,292 | 
EEK | Estonian kroon | 15,6466 | 
HUF | Hungarian forint | 259,80 | 
LTL | Lithuanian litas | 3,4528 | 
LVL | Latvian lats | 0,6960 | 
MTL | Maltese lira | 0,4293 | 
PLN | Polish zloty | 3,8149 | 
RON | Romanian leu | 3,4689 | 
SIT | Slovenian tolar | 239,62 | 
SKK | Slovak koruna | 37,310 | 
TRY | Turkish lira | 1,6745 | 
AUD | Australian dollar | 1,6482 | 
CAD | Canadian dollar | 1,4063 | 
HKD | Hong Kong dollar | 9,8362 | 
NZD | New Zealand dollar | 1,9807 | 
SGD | Singapore dollar | 2,0001 | 
KRW | South Korean won | 1192,16 | 
ZAR | South African rand | 7,6782 | 
CNY | Chinese yuan renminbi | 10,1713 | 
HRK | Croatian kuna | 7,2750 | 
IDR | Indonesian rupiah | 11152,75 | 
MYR | Malaysian ringgit | 4,575 | 
PHP | Philippine peso | 65,508 | 
RUB | Russian rouble | 34,4120 | 
THB | Thai baht | 48,037 | 
[1] Source: reference exchange rate published by the ECB. 
-------------------------------------------------- 
