Euro exchange rates 
Euro exchange rates [1] 
27 February 2006 
(2006/C 49/01) 
| Currency | Exchange rate | 
USD | US dollar | 1,1852 | 
JPY | Japanese yen | 137,77 | 
DKK | Danish krone | 7,4598 | 
GBP | Pound sterling | 0,68105 | 
SEK | Swedish krona | 9,4440 | 
CHF | Swiss franc | 1,5637 | 
ISK | Iceland kr贸na | 78,62 | 
NOK | Norwegian krone | 8,0265 | 
BGN | Bulgarian lev | 1,9558 | 
CYP | Cyprus pound | 0,5747 | 
CZK | Czech koruna | 28,340 | 
EEK | Estonian kroon | 15,6466 | 
HUF | Hungarian forint | 252,50 | 
LTL | Lithuanian litas | 3,4528 | 
LVL | Latvian lats | 0,6962 | 
MTL | Maltese lira | 0,4293 | 
PLN | Polish zloty | 3,7680 | 
RON | Romanian leu | 3,4995 | 
SIT | Slovenian tolar | 239,51 | 
SKK | Slovak koruna | 37,271 | 
TRY | Turkish lira | 1,5610 | 
AUD | Australian dollar | 1,6072 | 
CAD | Canadian dollar | 1,3590 | 
HKD | Hong Kong dollar | 9,1957 | 
NZD | New Zealand dollar | 1,7984 | 
SGD | Singapore dollar | 1,9234 | 
KRW | South Korean won | 1148,28 | 
ZAR | South African rand | 7,2971 | 
CNY | Chinese yuan renminbi | 9,5314 | 
HRK | Croatian kuna | 7,3150 | 
IDR | Indonesian rupiah | 10945,32 | 
MYR | Malaysian ringgit | 4,401 | 
PHP | Philippine peso | 61,583 | 
RUB | Russian rouble | 33,3360 | 
THB | Thai baht | 46,517 | 
[1] Source: reference exchange rate published by the ECB. 
-------------------------------------------------- 
