Taux de change de l'euro 
Taux de change de l'euro [1] 
15 novembre 2005 
(2005/C 283/01) 
| Monnaie | Taux de change | 
USD | dollar des États-Unis | 1,1667 | 
JPY | yen japonais | 139,11 | 
DKK | couronne danoise | 7,4572 | 
GBP | livre sterling | 0,6732 | 
SEK | couronne suédoise | 9,6325 | 
CHF | franc suisse | 1,5413 | 
ISK | couronne islandaise | 72,8 | 
NOK | couronne norvégienne | 7,793 | 
BGN | lev bulgare | 1,9555 | 
CYP | livre chypriote | 0,5734 | 
CZK | couronne tchèque | 29,285 | 
EEK | couronne estonienne | 15,6466 | 
HUF | forint hongrois | 250,26 | 
LTL | litas lituanien | 3,4528 | 
LVL | lats letton | 0,6964 | 
MTL | lire maltaise | 0,4293 | 
PLN | zloty polonais | 3,994 | 
RON | leu roumain | 3,6379 | 
SIT | tolar slovène | 239,5 | 
SKK | couronne slovaque | 38,845 | 
TRY | lire turque | 1,5901 | 
AUD | dollar australien | 1,602 | 
CAD | dollar canadien | 1,3961 | 
HKD | dollar de Hong Kong | 9,0495 | 
NZD | dollar néo-zélandais | 1,7106 | 
SGD | dollar de Singapour | 1,9889 | 
KRW | won sud-coréen | 1207,07 | 
ZAR | rand sud-africain | 7,9271 | 
CNY | yuan ren-min-bi chinois | 9,4322 | 
HRK | kuna croate | 7,3575 | 
IDR | rupiah indonésien | 11678,67 | 
MYR | ringgit malais | 4,4101 | 
PHP | peso philippin | 63,789 | 
RUB | rouble russe | 33,706 | 
THB | baht thaïlandais | 48,07 | 
[1] Source: taux de change de référence publié par la Banque centrale européenne. 
-------------------------------------------------- 
