Taux de change de l'euro 
Taux de change de l'euro [1] 
2 octobre 2006 
(2006/C 238/02) 
| Monnaie | Taux de change | 
USD | dollar des États-Unis | 1,2685 | 
JPY | yen japonais | 149,99 | 
DKK | couronne danoise | 7,4572 | 
GBP | livre sterling | 0,67790 | 
SEK | couronne suédoise | 9,3317 | 
CHF | franc suisse | 1,5841 | 
ISK | couronne islandaise | 89,07 | 
NOK | couronne norvégienne | 8,3425 | 
BGN | lev bulgare | 1,9558 | 
CYP | livre chypriote | 0,5767 | 
CZK | couronne tchèque | 28,288 | 
EEK | couronne estonienne | 15,6466 | 
HUF | forint hongrois | 275,00 | 
LTL | litas lituanien | 3,4528 | 
LVL | lats letton | 0,6960 | 
MTL | lire maltaise | 0,4293 | 
PLN | zloty polonais | 3,9608 | 
RON | leu roumain | 3,5356 | 
SIT | tolar slovène | 239,58 | 
SKK | couronne slovaque | 37,385 | 
TRY | lire turque | 1,9215 | 
AUD | dollar australien | 1,7042 | 
CAD | dollar canadien | 1,4226 | 
HKD | dollar de Hong Kong | 9,8829 | 
NZD | dollar néo-zélandais | 1,9372 | 
SGD | dollar de Singapour | 2,0128 | 
KRW | won sud-coréen | 1202,54 | 
ZAR | rand sud-africain | 9,8329 | 
CNY | yuan ren-min-bi chinois | 10,0264 | 
HRK | kuna croate | 7,3770 | 
IDR | rupiah indonésien | 11676,54 | 
MYR | ringgit malais | 4,6801 | 
PHP | peso philippin | 63,450 | 
RUB | rouble russe | 33,9880 | 
THB | baht thaïlandais | 47,708 | 
[1] Source: taux de change de référence publié par la Banque centrale européenne. 
-------------------------------------------------- 
