Tipo de cambio del euro 
Tipo de cambio del euro [1] 
19 de septiembre de 2006 
(2006/C 226/01) 
| Moneda | Tipo de cambio | 
USD | dólar estadounidense | 1,2654 | 
JPY | yen japonés | 148,81 | 
DKK | corona danesa | 7,4613 | 
GBP | libra esterlina | 0,67320 | 
SEK | corona sueca | 9,1740 | 
CHF | franco suizo | 1,5903 | 
ISK | corona islandesa | 88,89 | 
NOK | corona noruega | 8,2735 | 
BGN | lev búlgaro | 1,9558 | 
CYP | libra chipriota | 0,5765 | 
CZK | corona checa | 28,488 | 
EEK | corona estonia | 15,6466 | 
HUF | forint húngaro | 273,47 | 
LTL | litas lituana | 3,4528 | 
LVL | lats letón | 0,6961 | 
MTL | lira maltesa | 0,4293 | 
PLN | zloty polaco | 3,9598 | 
RON | leu rumano | 3,5308 | 
SIT | tólar esloveno | 239,58 | 
SKK | corona eslovaca | 37,472 | 
TRY | lira turca | 1,8590 | 
AUD | dólar australiano | 1,6802 | 
CAD | dólar canadiense | 1,4201 | 
HKD | dólar de Hong Kong | 9,8526 | 
NZD | dólar neozelandés | 1,9091 | 
SGD | dólar de Singapur | 2,0079 | 
KRW | won de Corea del Sur | 1204,79 | 
ZAR | rand sudafricano | 9,3359 | 
CNY | yuan renminbi | 10,0426 | 
HRK | kuna croata | 7,4175 | 
IDR | rupia indonesia | 11588,53 | 
MYR | ringgit malayo | 4,659 | 
PHP | peso filipino | 63,390 | 
RUB | rublo ruso | 33,9340 | 
THB | baht tailandés | 47,142 | 
[1] Fuente: tipo de cambio de referencia publicado por el Banco Central Europeo. 
-------------------------------------------------- 
