Tipo de cambio del euro 
Tipo de cambio del euro [1] 
26 de julio de 2006 
(2006/C 175/01) 
| Moneda | Tipo de cambio | 
USD | dólar estadounidense | 1,2587 | 
JPY | yen japonés | 147,10 | 
DKK | corona danesa | 7,4610 | 
GBP | libra esterlina | 0,68415 | 
SEK | corona sueca | 9,2452 | 
CHF | franco suizo | 1,5756 | 
ISK | corona islandesa | 91,54 | 
NOK | corona noruega | 7,9340 | 
BGN | lev búlgaro | 1,9558 | 
CYP | libra chipriota | 0,5750 | 
CZK | corona checa | 28,373 | 
EEK | corona estonia | 15,6466 | 
HUF | forint húngaro | 272,81 | 
LTL | litas lituana | 3,4528 | 
LVL | lats letón | 0,6961 | 
MTL | lira maltesa | 0,4293 | 
PLN | zloty polaco | 3,9246 | 
RON | leu rumano | 3,5455 | 
SIT | tólar esloveno | 239,65 | 
SKK | corona eslovaca | 38,122 | 
TRY | lira turca | 1,9138 | 
AUD | dólar australiano | 1,6599 | 
CAD | dólar canadiense | 1,4323 | 
HKD | dólar de Hong Kong | 9,7899 | 
NZD | dólar neozelandés | 2,0171 | 
SGD | dólar de Singapur | 1,9923 | 
KRW | won de Corea del Sur | 1201,49 | 
ZAR | rand sudafricano | 8,8301 | 
CNY | yuan renminbi | 10,0541 | 
HRK | kuna croata | 7,2650 | 
IDR | rupia indonesia | 11454,17 | 
MYR | ringgit malayo | 4,632 | 
PHP | peso filipino | 65,138 | 
RUB | rublo ruso | 33,9450 | 
THB | baht tailandés | 47,793 | 
[1] Fuente: tipo de cambio de referencia publicado por el Banco Central Europeo. 
-------------------------------------------------- 
