Tipo de cambio del euro 
Tipo de cambio del euro [1] 
15 de noviembre de 2006 
(2006/C 278/01) 
| Moneda | Tipo de cambio | 
USD | dólar estadounidense | 1,2792 | 
JPY | yen japonés | 151,01 | 
DKK | corona danesa | 7,4592 | 
GBP | libra esterlina | 0,67840 | 
SEK | corona sueca | 9,0870 | 
CHF | franco suizo | 1,5990 | 
ISK | corona islandesa | 90,35 | 
NOK | corona noruega | 8,2460 | 
BGN | lev búlgaro | 1,9558 | 
CYP | libra chipriota | 0,5777 | 
CZK | corona checa | 28,106 | 
EEK | corona estonia | 15,6466 | 
HUF | forint húngaro | 257,65 | 
LTL | litas lituana | 3,4528 | 
LVL | lats letón | 0,6965 | 
MTL | lira maltesa | 0,4293 | 
PLN | zloty polaco | 3,8115 | 
RON | leu rumano | 3,4988 | 
SIT | tólar esloveno | 239,58 | 
SKK | corona eslovaca | 35,770 | 
TRY | lira turca | 1,8550 | 
AUD | dólar australiano | 1,6733 | 
CAD | dólar canadiense | 1,4572 | 
HKD | dólar de Hong Kong | 9,9607 | 
NZD | dólar neozelandés | 1,9406 | 
SGD | dólar de Singapur | 1,9959 | 
KRW | won de Corea del Sur | 1204,30 | 
ZAR | rand sudafricano | 9,3557 | 
CNY | yuan renminbi | 10,0656 | 
HRK | kuna croata | 7,3465 | 
IDR | rupia indonesia | 11746,25 | 
MYR | ringgit malayo | 4,6659 | 
PHP | peso filipino | 64,082 | 
RUB | rublo ruso | 34,1260 | 
THB | baht tailandés | 46,738 | 
[1] Fuente: tipo de cambio de referencia publicado por el Banco Central Europeo. 
-------------------------------------------------- 
