Euro exchange rates 
Euro exchange rates [1] 
23 March 2006 
(2006/C 72/01) 
| Currency | Exchange rate | 
USD | US dollar | 1,2055 | 
JPY | Japanese yen | 141,12 | 
DKK | Danish krone | 7,4614 | 
GBP | Pound sterling | 0,69175 | 
SEK | Swedish krona | 9,3525 | 
CHF | Swiss franc | 1,5770 | 
ISK | Iceland kr贸na | 86,06 | 
NOK | Norwegian krone | 7,9670 | 
BGN | Bulgarian lev | 1,9558 | 
CYP | Cyprus pound | 0,5757 | 
CZK | Czech koruna | 28,683 | 
EEK | Estonian kroon | 15,6466 | 
HUF | Hungarian forint | 263,00 | 
LTL | Lithuanian litas | 3,4528 | 
LVL | Latvian lats | 0,6960 | 
MTL | Maltese lira | 0,4293 | 
PLN | Polish zloty | 3,8805 | 
RON | Romanian leu | 3,5076 | 
SIT | Slovenian tolar | 239,60 | 
SKK | Slovak koruna | 37,438 | 
TRY | Turkish lira | 1,6107 | 
AUD | Australian dollar | 1,6783 | 
CAD | Canadian dollar | 1,4049 | 
HKD | Hong Kong dollar | 9,3540 | 
NZD | New Zealand dollar | 1,9183 | 
SGD | Singapore dollar | 1,9490 | 
KRW | South Korean won | 1175,97 | 
ZAR | South African rand | 7,5537 | 
CNY | Chinese yuan renminbi | 9,6797 | 
HRK | Croatian kuna | 7,3398 | 
IDR | Indonesian rupiah | 10867,58 | 
MYR | Malaysian ringgit | 4,449 | 
PHP | Philippine peso | 61,649 | 
RUB | Russian rouble | 33,4760 | 
THB | Thai baht | 47,075 | 
[1] Source: reference exchange rate published by the ECB. 
-------------------------------------------------- 
