Euro exchange rates 
Euro exchange rates [1] 
19 July 2006 
(2006/C 168/02) 
| Currency | Exchange rate | 
USD | US dollar | 1,2482 | 
JPY | Japanese yen | 146,91 | 
DKK | Danish krone | 7,4610 | 
GBP | Pound sterling | 0,68365 | 
SEK | Swedish krona | 9,2585 | 
CHF | Swiss franc | 1,5692 | 
ISK | Iceland kr贸na | 93,52 | 
NOK | Norwegian krone | 7,9690 | 
BGN | Bulgarian lev | 1,9558 | 
CYP | Cyprus pound | 0,5750 | 
CZK | Czech koruna | 28,461 | 
EEK | Estonian kroon | 15,6466 | 
HUF | Hungarian forint | 277,87 | 
LTL | Lithuanian litas | 3,4528 | 
LVL | Latvian lats | 0,6960 | 
MTL | Maltese lira | 0,4293 | 
PLN | Polish zloty | 4,0216 | 
RON | Romanian leu | 3,5904 | 
SIT | Slovenian tolar | 239,64 | 
SKK | Slovak koruna | 38,594 | 
TRY | Turkish lira | 1,9685 | 
AUD | Australian dollar | 1,6766 | 
CAD | Canadian dollar | 1,4214 | 
HKD | Hong Kong dollar | 9,7059 | 
NZD | New Zealand dollar | 2,0069 | 
SGD | Singapore dollar | 1,9911 | 
KRW | South Korean won | 1195,65 | 
ZAR | South African rand | 8,9778 | 
CNY | Chinese yuan renminbi | 9,9886 | 
HRK | Croatian kuna | 7,2420 | 
IDR | Indonesian rupiah | 11552,09 | 
MYR | Malaysian ringgit | 4,612 | 
PHP | Philippine peso | 65,824 | 
RUB | Russian rouble | 33,7850 | 
THB | Thai baht | 47,708 | 
[1] Source: reference exchange rate published by the ECB. 
-------------------------------------------------- 
