Euro exchange rates 
Euro exchange rates [1] 
3 May 2006 
(2006/C 105/01) 
| Currency | Exchange rate | 
USD | US dollar | 1,2622 | 
JPY | Japanese yen | 143,38 | 
DKK | Danish krone | 7,4571 | 
GBP | Pound sterling | 0,6869 | 
SEK | Swedish krona | 9,309 | 
CHF | Swiss franc | 1,5623 | 
ISK | Iceland kr贸na | 93,83 | 
NOK | Norwegian krone | 7,7615 | 
BGN | Bulgarian lev | 1,9558 | 
CYP | Cyprus pound | 0,5752 | 
CZK | Czech koruna | 28,283 | 
EEK | Estonian kroon | 15,6466 | 
HUF | Hungarian forint | 260,78 | 
LTL | Lithuanian litas | 3,4528 | 
LVL | Latvian lats | 0,6961 | 
MTL | Maltese lira | 0,4293 | 
PLN | Polish zloty | 3,815 | 
RON | Romanian leu | 3,4641 | 
SIT | Slovenian tolar | 239,58 | 
SKK | Slovak koruna | 37,22 | 
TRY | Turkish lira | 1,6615 | 
AUD | Australian dollar | 1,6417 | 
CAD | Canadian dollar | 1,3979 | 
HKD | Hong Kong dollar | 9,7859 | 
NZD | New Zealand dollar | 1,9603 | 
SGD | Singapore dollar | 1,9878 | 
KRW | South Korean won | 1179,27 | 
ZAR | South African rand | 7,6644 | 
CNY | Chinese yuan renminbi | 10,1184 | 
HRK | Croatian kuna | 7,295 | 
IDR | Indonesian rupiah | 11075,81 | 
MYR | Malaysian ringgit | 4,5546 | 
PHP | Philippine peso | 64,776 | 
RUB | Russian rouble | 34,34 | 
THB | Thai baht | 47,526 | 
[1] Source: reference exchange rate published by the ECB. 
-------------------------------------------------- 
