Euro exchange rates 
Euro exchange rates [1] 
17 October 2006 
(2006/C 252/01) 
| Currency | Exchange rate | 
USD | US dollar | 1,2524 | 
JPY | Japanese yen | 148,67 | 
DKK | Danish krone | 7,4556 | 
GBP | Pound sterling | 0,67080 | 
SEK | Swedish krona | 9,2694 | 
CHF | Swiss franc | 1,5895 | 
ISK | Iceland kr贸na | 85,54 | 
NOK | Norwegian krone | 8,4710 | 
BGN | Bulgarian lev | 1,9558 | 
CYP | Cyprus pound | 0,5767 | 
CZK | Czech koruna | 28,323 | 
EEK | Estonian kroon | 15,6466 | 
HUF | Hungarian forint | 266,72 | 
LTL | Lithuanian litas | 3,4528 | 
LVL | Latvian lats | 0,6960 | 
MTL | Maltese lira | 0,4293 | 
PLN | Polish zloty | 3,8958 | 
RON | Romanian leu | 3,5125 | 
SIT | Slovenian tolar | 239,57 | 
SKK | Slovak koruna | 36,833 | 
TRY | Turkish lira | 1,8548 | 
AUD | Australian dollar | 1,6616 | 
CAD | Canadian dollar | 1,4232 | 
HKD | Hong Kong dollar | 9,7456 | 
NZD | New Zealand dollar | 1,8876 | 
SGD | Singapore dollar | 1,9800 | 
KRW | South Korean won | 1195,23 | 
ZAR | South African rand | 9,5498 | 
CNY | Chinese yuan renminbi | 9,9042 | 
HRK | Croatian kuna | 7,3880 | 
IDR | Indonesian rupiah | 11465,72 | 
MYR | Malaysian ringgit | 4,6032 | 
PHP | Philippine peso | 62,545 | 
RUB | Russian rouble | 33,7520 | 
THB | Thai baht | 46,825 | 
[1] Source: reference exchange rate published by the ECB. 
-------------------------------------------------- 
